trial_id,detector,shift,clutter,seed,episodes,detections,collisions,successes,stalls,collision_rate,mean_length,mean_waits,score_mean,score_max,coverage_margin
96,nominal,0.0,sparse,5,1,156,0,1,0,0.0,27.384776311,0.0,0.279095552,0.930378476,-0.930378476
97,nominal,0.0,sparse,6,1,72,0,1,0,0.0,25.627416998,0.0,0.326281894,1.022989746,-1.022989746
98,nominal,0.0,sparse,7,1,154,0,1,0,0.0,26.506096654,0.0,0.174401542,0.451312665,-0.451312665
99,nominal,0.0,sparse,8,1,93,1,0,0,1.0,19.556349186,0.0,0.337545977,0.978672139,-0.978672139
100,nominal,0.0,sparse,9,1,56,1,0,0,1.0,13.313708499,0.0,0.380854036,1.04054049,-1.04054049
61,sharp,-0.6,dense,0,1,132,1,0,0,1.0,10.156854249,0.0,0.058156433,0.625432862,-0.625432862
62,sharp,-0.6,dense,1,1,387,0,1,0,0.0,32.970562748,0.0,0.028749804,0.826978906,-0.826978906
71,sharp,-0.6,dense,10,1,191,1,0,0,1.0,12.692388155,0.0,0.162751924,0.908963118,-0.908963118
72,sharp,-0.6,dense,11,1,192,1,0,0,1.0,21.056349186,0.0,0.049038317,0.629903708,-0.629903708
73,sharp,-0.6,dense,12,1,82,1,0,0,1.0,9.242640687,0.0,0.011231522,0.092840556,-0.092840556
74,sharp,-0.6,dense,13,1,36,1,0,0,1.0,7.071067812,0.0,0.210235835,0.964918275,-0.964918275
75,sharp,-0.6,dense,14,1,226,0,1,0,0.0,25.334523779,0.0,0.055642043,0.550939158,-0.550939158
76,sharp,-0.6,dense,15,1,363,0,1,0,0.0,28.263455967,0.0,0.064125585,0.844306747,-0.844306747
77,sharp,-0.6,dense,16,1,187,1,0,0,1.0,13.485281374,0.0,0.212100805,1.042554135,-1.042554135
78,sharp,-0.6,dense,17,1,284,1,0,0,1.0,22.056349186,0.0,0.171795074,0.994738802,-0.994738802
79,sharp,-0.6,dense,18,1,24,1,0,0,1.0,5.449747468,0.0,0.127332467,0.520165482,-0.520165482
80,sharp,-0.6,dense,19,1,218,1,0,0,1.0,14.278174593,0.0,0.099292648,0.891769389,-0.891769389
63,sharp,-0.6,dense,2,1,200,1,0,0,1.0,14.399494937,0.0,0.107824633,0.864086201,-0.864086201
81,sharp,-0.6,dense,20,1,135,1,0,0,1.0,15.935028843,0.0,0.007314994,0.126229529,-0.126229529
