t,x,y,z,roll,pitch,yaw,v
3.016667,-17.635721,-5.809503,0.205053,-0.075157,-0.028037,-0.283301,0.536154
3.033333,-17.627167,-5.813749,0.205775,-0.078864,-0.030362,-0.281859,0.573021
3.050000,-17.617924,-5.816945,0.205224,-0.078009,-0.032101,-0.279587,0.586784
3.066667,-17.608902,-5.820603,0.205473,-0.078998,-0.033407,-0.277149,0.584126
3.083333,-17.599390,-5.822808,0.204250,-0.076285,-0.036145,-0.275934,0.585849
3.100000,-17.590628,-5.825734,0.204643,-0.077094,-0.037620,-0.274816,0.554268
3.116667,-17.582373,-5.829073,0.205615,-0.079954,-0.038295,-0.273831,0.534290
3.133333,-17.573469,-5.831772,0.204989,-0.078546,-0.038918,-0.272196,0.558223
3.150000,-17.564274,-5.835167,0.204774,-0.079449,-0.040361,-0.270725,0.588124
3.166667,-17.555014,-5.838444,0.204522,-0.080203,-0.041522,-0.268977,0.589362
3.183333,-17.546146,-5.842702,0.206060,-0.085493,-0.042438,-0.267538,0.590213
3.200000,-17.537107,-5.845640,0.206111,-0.085527,-0.043654,-0.267178,0.570253
3.216667,-17.529020,-5.848337,0.206932,-0.086542,-0.043561,-0.267561,0.511510
3.233333,-17.520586,-5.850638,0.207235,-0.085561,-0.043539,-0.267052,0.524556
3.250000,-17.512001,-5.853358,0.207885,-0.085831,-0.043100,-0.265854,0.540332
3.266667,-17.503473,-5.854966,0.207547,-0.083034,-0.043213,-0.265828,0.520676
3.283333,-17.495016,-5.856831,0.207568,-0.081764,-0.043003,-0.265483,0.519628
3.300000,-17.486210,-5.859080,0.207750,-0.081533,-0.043490,-0.264945,0.545336
3.316667,-17.478046,-5.861900,0.209134,-0.085673,-0.043867,-0.265606,0.518208
3.333333,-17.469398,-5.863045,0.208501,-0.081613,-0.044247,-0.265599,0.523402
3.350000,-17.461178,-5.864138,0.207792,-0.077574,-0.043672,-0.266328,0.497576
3.366667,-17.451994,-5.864706,0.205359,-0.068604,-0.044029,-0.266004,0.552086
3.383333,-17.443743,-5.866931,0.205424,-0.065971,-0.042706,-0.265084,0.512769
3.400000,-17.435154,-5.869727,0.205495,-0.064721,-0.042374,-0.264147,0.541932
3.416667,-17.426729,-5.872872,0.206130,-0.065519,-0.042537,-0.263407,0.539573
3.433333,-17.418171,-5.875773,0.206286,-0.064607,-0.041989,-0.262269,0.542187
3.450000,-17.408628,-5.877114,0.204245,-0.057056,-0.042172,-0.260513,0.578177
3.466667,-17.400301,-5.879462,0.204098,-0.055373,-0.042130,-0.259859,0.519129
3.483333,-17.392174,-5.882382,0.204909,-0.056874,-0.041549,-0.259334,0.518154
3.500000,-17.384218,-5.884242,0.204983,-0.055996,-0.041562,-0.260425,0.490194
3.516667,-17.375801,-5.886862,0.205094,-0.057332,-0.043102,-0.261432,0.528932
3.533333,-17.367922,-5.889749,0.206141,-0.059636,-0.042780,-0.262132,0.503486
3.550000,-17.360001,-5.892675,0.207376,-0.062457,-0.041973,-0.262847,0.506679
3.566667,-17.351875,-5.894487,0.207914,-0.060125,-0.039382,-0.261989,0.499487
3.583333,-17.343493,-5.899030,0.209405,-0.067574,-0.040231,-0.261940,0.572076
3.600000,-17.335064,-5.901474,0.209727,-0.067233,-0.038880,-0.261605,0.526542
3.616667,-17.327129,-5.903856,0.210332,-0.067050,-0.038638,-0.262561,0.497077
3.633333,-17.318558,-5.906795,0.210680,-0.068005,-0.039243,-0.262328,0.543675
3.650000,-17.310482,-5.910213,0.211932,-0.071559,-0.038784,-0.262413,0.526155
3.666667,-17.303061,-5.913083,0.213511,-0.075986,-0.037754,-0.264204,0.477438
3.683333,-17.295486,-5.915913,0.214894,-0.079757,-0.037808,-0.266087,0.485122
3.700000,-17.288303,-5.917860,0.216012,-0.081751,-0.036903,-0.268217,0.446535
3.716667,-17.281290,-5.920017,0.217804,-0.086259,-0.036368,-0.271114,0.440255
3.733333,-17.273066,-5.920928,0.217399,-0.083830,-0.037101,-0.273543,0.496489
3.750000,-17.265507,-5.921649,0.217397,-0.082103,-0.037176,-0.276951,0.455590
3.766667,-17.257612,-5.923339,0.217916,-0.082920,-0.037804,-0.279445,0.484396
3.783333,-17.249800,-5.925029,0.218294,-0.083505,-0.037066,-0.281420,0.479597
3.800000,-17.241955,-5.927435,0.219291,-0.086890,-0.035808,-0.283131,0.492337
3.816667,-17.234253,-5.929211,0.220062,-0.087960,-0.033204,-0.284466,0.474236
3.833333,-17.225960,-5.930081,0.219845,-0.086420,-0.032340,-0.286819,0.500318
3.850000,-17.218237,-5.931686,0.220464,-0.088405,-0.031911,-0.290398,0.473278
3.866667,-17.210249,-5.933484,0.221102,-0.090051,-0.031321,-0.293197,0.491266
3.883333,-17.202631,-5.934530,0.221577,-0.089877,-0.030117,-0.296735,0.461363
3.900000,-17.194803,-5.936281,0.221974,-0.092332,-0.030680,-0.300579,0.481278
3.916667,-17.186819,-5.937624,0.222069,-0.092287,-0.030338,-0.303682,0.485777
3.933333,-17.178522,-5.939770,0.222150,-0.094210,-0.030799,-0.305998,0.514204
3.950000,-17.170567,-5.940886,0.222217,-0.093945,-0.030272,-0.309247,0.482001
3.966667,-17.162678,-5.942050,0.222996,-0.094641,-0.029569,-0.312432,0.478456
3.983333,-17.155132,-5.942932,0.223300,-0.094511,-0.028856,-0.316314,0.455812
4.000000,-17.147404,-5.943916,0.223795,-0.095166,-0.028310,-0.319812,0.467456
4.016667,-17.140759,-5.943822,0.224702,-0.095565,-0.026578,-0.325424,0.398752
4.033333,-17.133986,-5.942639,0.224661,-0.094632,-0.026328,-0.333322,0.412527
4.050000,-17.127748,-5.941107,0.224783,-0.092853,-0.024692,-0.341361,0.385354
4.066667,-17.121262,-5.940068,0.224788,-0.092720,-0.024115,-0.349323,0.394170
4.083333,-17.114851,-5.938972,0.224770,-0.091050,-0.023059,-0.356728,0.390219
4.100000,-17.109026,-5.936868,0.224437,-0.088226,-0.021465,-0.366358,0.371608
4.116667,-17.103292,-5.935502,0.225134,-0.088971,-0.020112,-0.375287,0.353640
4.133333,-17.097700,-5.933551,0.225156,-0.087418,-0.017849,-0.384193,0.355359
4.150000,-17.091612,-5.932099,0.224956,-0.087347,-0.017289,-0.393244,0.375547
4.166667,-17.085878,-5.930060,0.224759,-0.086294,-0.015706,-0.403035,0.365115
4.183333,-17.079777,-5.928520,0.225047,-0.086033,-0.014823,-0.412302,0.377573
4.200000,-17.073792,-5.927725,0.225284,-0.086961,-0.014013,-0.420680,0.362269
4.216667,-17.068022,-5.926399,0.225521,-0.086844,-0.012095,-0.429539,0.355216
4.233333,-17.062241,-5.924045,0.225311,-0.083063,-0.009650,-0.438825,0.374527
4.250000,-17.056343,-5.922877,0.224578,-0.084806,-0.010939,-0.449937,0.360722
4.266667,-17.050093,-5.921103,0.224245,-0.082475,-0.010192,-0.458750,0.389840
4.283333,-17.044622,-5.919665,0.224715,-0.083633,-0.009095,-0.468898,0.339355
4.300000,-17.038670,-5.918159,0.224060,-0.083873,-0.009653,-0.479412,0.368435
4.316667,-17.032679,-5.916631,0.224148,-0.083209,-0.008872,-0.488538,0.370963
4.333333,-17.027142,-5.916831,0.224618,-0.085700,-0.008708,-0.496043,0.332440
4.350000,-17.021244,-5.917309,0.225357,-0.089089,-0.008096,-0.502507,0.355008
4.366667,-17.014967,-5.917789,0.226068,-0.091726,-0.007614,-0.508742,0.377728
4.383333,-17.008730,-5.916941,0.224876,-0.091666,-0.008429,-0.517920,0.377667
