env,coverage,sigma,policy,alpha,run,found,nominal_length,min_clearance,planner_cost,nodes,plan_time,realized_mean,realized_p95,realized_max,over_budget,hazard_rate
easy,0.08,0.01,rrtstar,,40,1,80.81668525795631,0.22120572923939674,80.81668525795628,1334,0.1749367169686593,81.7127101922561,84.5377221806413,89.38215775551585,0.0,0.5875
easy,0.08,0.01,rrtstar,,41,1,79.54877793958235,0.10760286833400556,79.54877793958238,1305,0.15374670299934223,80.29584154773669,83.06174600434416,87.13039437310404,0.0,0.595
easy,0.08,0.01,rrtstar,,42,1,79.82099900595337,0.4442532421589078,79.82099900595337,1332,0.1535341020207852,80.14450895660978,81.53044445628883,87.57044986487217,0.0,0.35
easy,0.08,0.01,rrtstar,,43,1,80.35303383347647,0.526292579315486,80.35303383347649,1372,0.1602531319949776,80.94752697482421,82.96469639890634,86.44461465748188,0.0,0.515
easy,0.08,0.01,rrtstar,,44,1,79.49684688724307,0.973271491173161,79.49684688724302,1330,0.2703788529615849,80.13963263450772,82.37739537750197,86.88961629223225,0.0,0.4925
easy,0.08,0.01,rrtstar,,45,1,79.76682021752613,0.38533813889614743,79.76682021752609,1330,0.2640064779552631,80.53035108864624,82.75260974544587,85.65213265843127,0.0,0.635
easy,0.08,0.01,rrtstar,,46,1,79.74377634884918,0.07117541441157771,79.7437763488492,1342,0.26426651899237186,80.37339210519684,82.54360098628868,85.87651289076688,0.0,0.5875
easy,0.08,0.01,rrtstar,,47,1,81.36542946250498,1.9424431007251677,81.365429462505,1297,0.2428943410050124,81.6933992389361,83.16983404911133,90.1444015600581,0.0,0.3525
easy,0.08,0.01,rrtstar,,48,1,79.68685806641254,1.2017211913427868,79.68685806641255,1354,0.2723823899868876,80.353894818994,82.57423731401319,86.01801330387488,0.0,0.5325
easy,0.08,0.01,rrtstar,,49,1,79.45738158480347,4.0,79.45738158480347,1362,0.20172388100763783,79.57418736433284,80.33975613178096,82.9225654302627,0.0,0.1125
easy,0.08,0.01,neutral,0.0,0,1,80.47959383449945,0.6082653543687431,80.97320904504163,1315,0.3387952040066011,80.91010721292969,82.85288429188171,86.90672084729421,0.0,0.3625
easy,0.08,0.01,neutral,0.0,1,1,79.64852760711747,0.6511637806797594,80.11634933663154,1312,0.37222459295298904,80.23961585287203,82.17073703454496,87.13448132350156,0.0,0.48
easy,0.08,0.01,neutral,0.0,2,1,79.55767984707165,0.046110385952773614,80.06323849527284,1285,0.5276844849577174,80.2425514423711,82.82281739324338,85.95312511688583,0.0,0.515
easy,0.08,0.01,neutral,0.0,3,1,79.86229709347754,0.34593360621493785,80.27403575266133,1313,0.5439374860143289,80.28903291448947,82.22392675043925,88.67680925863323,0.0,0.395
easy,0.08,0.01,neutral,0.0,4,1,79.78423601094907,1.2328088337483698,80.1017858186439,1298,0.5529172400129028,80.0694171223775,81.52998091588563,85.37813270156933,0.0,0.235
easy,0.08,0.01,neutral,0.0,5,1,80.84930293032154,0.04084586820136238,81.39878904711026,1346,0.5885581889888272,81.51907623806385,83.97977783332756,87.18027098909,0.0,0.5225
easy,0.08,0.01,neutral,0.0,6,1,79.98007622303273,0.8274328206846342,80.35919627745405,1296,0.3627076339907944,80.5379944315194,82.8240546750716,86.6570763442871,0.0,0.455
easy,0.08,0.01,neutral,0.0,7,1,79.95965597702511,0.18238947455242704,80.58649390835747,1328,0.37006180395837873,80.79412111352808,83.11226884715447,88.53497194035607,0.0,0.66
easy,0.08,0.01,neutral,0.0,8,1,80.48230722862345,0.02981228939398539,81.59580645847107,1307,0.3797840310144238,81.3334373788924,83.8507902330243,86.62568433289918,0.0,0.675
easy,0.08,0.01,neutral,0.0,9,1,79.79033924624115,2.671981329333182,79.97310661786217,1357,0.40574210800696164,79.91993194160605,80.8923918422735,82.98382716719944,0.0,0.1625
easy,0.08,0.01,neutral,0.0,10,1,79.66744434287409,3.0568588955980234,79.79238857125426,1326,0.41548253898508847,79.79241031107799,80.57021139940471,83.30689903249836,0.0,0.1725
easy,0.08,0.01,neutral,0.0,11,1,79.55579648031016,1.2356164450569989,79.8296919075854,1362,0.3785942230024375,79.87264373935142,81.182287189193,84.48968156630889,0.0,0.3375
easy,0.08,0.01,neutral,0.0,12,1,82.10106581513328,0.23970655600324386,83.04404282985017,1326,0.35745454498101026,83.11711143841076,86.1142250736389,89.72133173741607,0.0,0.7425
easy,0.08,0.01,neutral,0.0,13,1,80.39796852842319,0.378774002229356,80.66561358637827,1347,0.39097184903221205,80.69101194271025,82.16711038650278,83.66056906215701,0.0,0.335
easy,0.08,0.01,neutral,0.0,14,1,81.76357911299432,0.028753703203512337,82.70749560747763,1287,0.3176979160052724,82.63376265790397,84.8919708946844,87.17168259752756,0.0,0.7075
easy,0.08,0.01,neutral,0.0,15,1,80.11539917870986,0.32457642492403593,80.49568460208474,1361,0.3806494980235584,80.57879237855778,82.55230372886928,87.05209836147743,0.0,0.435
easy,0.08,0.01,neutral,0.0,16,1,79.96724035893165,4.0,80.08725114646968,1331,0.34940960799576715,80.11355421410913,81.14495959572042,84.45818147775518,0.0,0.1725
easy,0.08,0.01,neutral,0.0,17,1,79.66239016239821,0.9250112006788469,80.17393945461677,1325,0.3707970749819651,80.12191035833379,81.91114545431859,84.49193004410769,0.0,0.4825
easy,0.08,0.01,neutral,0.0,18,1,80.13967432241891,0.3369767283740295,80.5237048411836,1319,0.32744359702337533,80.58296645536883,82.12130602044246,87.57475988376514,0.0,0.4375
easy,0.08,0.01,neutral,0.0,19,1,80.12502861775927,0.3461168973041042,80.5502416400585,1321,0.3407633139868267,80.5649222377207,82.36561463539746,84.84834096880972,0.0,0.4475
easy,0.08,0.01,neutral,0.0,20,1,80.12498918349844,0.7227254413486079,80.56480721075202,1292,0.3031297189882025,80.53021792797757,82.21765475651522,83.97381577506901,0.0,0.405
easy,0.08,0.01,neutral,0.0,21,1,79.92500874448127,0.9020627336770146,80.33096231758982,1319,0.3419757760129869,80.31920587074838,82.01564109785461,84.6218437364331,0.0,0.3725
easy,0.08,0.01,neutral,0.0,22,1,80.81670721335038,0.03766025912394655,81.25404518748465,1288,0.34207534400047734,81.26534060448445,82.93322072034181,87.13214362786658,0.0,0.495
easy,0.08,0.01,neutral,0.0,23,1,80.70340054057287,0.22693809330170245,81.54705652071512,1300,0.35923815495334566,81.55745830734708,84.22558767112824,89.77883710445799,0.0,0.655
easy,0.08,0.01,neutral,0.0,24,1,81.09353207065797,0.39511103023014327,81.72302582303246,1320,0.3521635530050844,81.81662981950056,84.0141560546625,88.2083478423124,0.0,0.57
easy,0.08,0.01,neutral,0.0,25,1,79.92285045773542,1.0938166962790081,80.31222778469557,1307,0.39066795498365536,80.25400769124178,81.70619869566364,84.87787151915748,0.0,0.3725
easy,0.08,0.01,neutral,0.0,26,1,79.78359742859887,2.3599043258890258,80.02382766832017,1304,0.3411021649953909,79.95846418310234,81.0318254390598,84.41622518861705,0.0,0.2
easy,0.08,0.01,neutral,0.0,27,1,79.45468266956743,0.3429964387504838,79.890322137664,1322,0.4204179090447724,79.86105141382646,81.46271335473091,84.61018183027325,0.0,0.4375
easy,0.08,0.01,neutral,0.0,28,1,79.47303502011188,4.0,79.56772483272181,1316,0.450785810011439,79.5715967890666,80.15318968823482,84.61121665181572,0.0,0.13
easy,0.08,0.01,neutral,0.0,29,1,81.91790781967217,1.163474803393986,82.34928986567176,1335,0.4910650060046464,82.37232083456111,84.30234671937917,91.46940903785831,0.0,0.4325
easy,0.08,0.01,neutral,0.0,30,1,79.64238620105435,0.8267878171702843,80.32032727309196,1340,0.3320779669447802,80.26724032614557,82.37204132004169,87.22584002677732,0.0,0.535
easy,0.08,0.01,neutral,0.0,31,1,80.26598742170545,0.20849221046353872,81.07873384414228,1331,0.34398667700588703,80.91697120839409,83.46208512663387,85.73955275938228,0.0,0.5675
easy,0.08,0.01,neutral,0.0,32,1,79.4302475495622,1.1094209629997196,79.87273433268057,1310,0.3361243549734354,79.86696390992722,81.80130627651516,83.73040604729277,0.0,0.4475
easy,0.08,0.01,neutral,0.0,33,1,79.88388312220087,0.727137680246515,80.3969253003025,1292,0.34773725701961666,80.35474023968372,81.97556519616292,84.6936737518356,0.0,0.4625
easy,0.08,0.01,neutral,0.0,34,1,80.03355500293591,1.7128676705284822,80.21167038789488,1352,0.37206242699176073,80.26269804039714,81.51498786057414,86.27236496437936,0.0,0.235
easy,0.08,0.01,neutral,0.0,35,1,79.3338189701062,0.9780761512115994,79.76801334596644,1331,0.3555778860463761,79.74024257484743,81.39155892944582,85.28080144008936,0.0,0.47
easy,0.08,0.01,neutral,0.0,36,1,79.61299755937502,0.1261054773039172,80.24017149946775,1294,0.340985914983321,80.22148587420112,82.14648181263685,86.89448061270295,0.0,0.5875
easy,0.08,0.01,neutral,0.0,37,1,80.14322927774458,0.35130952492751044,80.70291411321003,1309,0.39591167599428445,80.81509882189117,82.67287487225605,87.22142360387842,0.0,0.6125
easy,0.08,0.01,neutral,0.0,38,1,80.5334475893469,0.07969943550734104,81.41770234930948,1271,0.4530149030033499,81.3794574555603,84.36501020842971,88.37819778110781,0.0,0.6125
easy,0.08,0.01,neutral,0.0,39,1,80.02474411019014,0.054322931350240466,81.02576483214865,1263,0.47617913800058886,81.05805116364235,83.49942895889974,88.82054830600502,0.0,0.755
easy,0.08,0.01,neutral,0.0,40,1,80.83184799741875,0.22120572923939674,81.50749588057566,1334,0.5133715799893253,81.6107800291075,83.97525207457592,91.6675869821022,0.0,0.5525
