design,environment,experiment_id,trial_id,state,wall_seconds,clutter,visibility,seed,n_draws,n_rocks,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc,path_length,detection_rate,stall_rate,replans,cost,power,ram
design-4370,c0.5-v1.0-s1,80,80,TrialState.SUCCESSFUL|SHUT_DOWN,1.001283,0.5,1.0,1,12,34,1.0,0.0,37.258426,1.033164,17.029618,0.924862,37.258426,0.965686,0.0,9,14500.0,121.000073,7036.65
design-4370,c0.5-v1.0-s2,81,81,TrialState.SUCCESSFUL|SHUT_DOWN,1.001612,0.5,1.0,2,12,34,1.0,0.0,38.991378,1.081218,15.723828,0.921367,38.991378,0.973039,0.0,8,14500.0,121.000073,7036.65
design-4370,c0.5-v1.0-s3,82,82,TrialState.SUCCESSFUL|SHUT_DOWN,1.000917,0.5,1.0,3,12,34,1.0,0.0,37.819805,1.048731,16.512674,0.92373,37.819805,0.963235,0.0,8,14500.0,121.000073,7036.65
design-4370,c0.8-v0.4-s1,89,89,TrialState.SUCCESSFUL|SHUT_DOWN,1.002405,0.8,0.4,1,12,46,1.0,0.0,43.748737,1.213138,13.95843,0.911773,43.748737,0.960145,0.0,12,14500.0,121.000073,7036.65
design-4370,c0.8-v0.4-s2,90,90,TrialState.SUCCESSFUL|SHUT_DOWN,1.002248,0.8,0.4,2,12,44,0.666667,0.333333,69.132323,1.917017,13.992094,0.860583,69.132323,0.757576,0.0,12,14500.0,121.000073,7036.65
design-4370,c0.8-v0.4-s3,91,91,TrialState.SUCCESSFUL|SHUT_DOWN,1.002706,0.8,0.4,3,12,46,1.0,0.0,46.454828,1.288177,14.003273,0.906316,46.454828,0.95471,0.0,11,14500.0,121.000073,7036.65
design-4370,c0.8-v1.0-s1,86,86,TrialState.SUCCESSFUL|SHUT_DOWN,1.002414,0.8,1.0,1,12,46,1.0,0.0,43.748737,1.213138,17.293553,0.911773,43.748737,0.960145,0.0,11,14500.0,121.000073,7036.65
design-4370,c0.8-v1.0-s2,87,87,TrialState.SUCCESSFUL|SHUT_DOWN,1.002611,0.8,1.0,2,12,44,1.0,0.0,44.052038,1.221549,16.989974,0.911162,44.052038,0.975379,0.0,9,14500.0,121.000073,7036.65
design-4370,c0.8-v1.0-s3,88,88,TrialState.SUCCESSFUL|SHUT_DOWN,1.000947,0.8,1.0,3,12,46,1.0,0.0,46.213203,1.281477,16.870929,0.906803,46.213203,0.974638,0.0,11,14500.0,121.000073,7036.65
design-512,c0.2-v0.4-s1,113,113,TrialState.SUCCESSFUL|SHUT_DOWN,1.001168,0.2,0.4,1,12,21,1.0,0.0,37.234019,1.032487,13.328043,0.937943,37.234019,0.972222,0.0,8,16000.0,100.000003,139.968
design-512,c0.2-v0.4-s2,114,114,TrialState.SUCCESSFUL|SHUT_DOWN,1.000927,0.2,0.4,2,12,21,0.833333,0.166667,53.090446,1.472181,12.637916,0.911516,53.090446,0.861111,0.0,9,16000.0,100.000003,139.968
design-512,c0.2-v0.4-s3,115,115,TrialState.SUCCESSFUL|SHUT_DOWN,1.00159,0.2,0.4,3,12,21,1.0,0.0,37.234019,1.032487,12.919384,0.937943,37.234019,0.988095,0.0,8,16000.0,100.000003,139.968
design-512,c0.2-v1.0-s1,110,110,TrialState.SUCCESSFUL|SHUT_DOWN,1.000479,0.2,1.0,1,12,21,1.0,0.0,37.234019,1.032487,13.328043,0.937943,37.234019,0.972222,0.0,8,16000.0,100.000003,139.968
design-512,c0.2-v1.0-s2,111,111,TrialState.SUCCESSFUL|SHUT_DOWN,1.000557,0.2,1.0,2,12,21,0.833333,0.166667,53.090446,1.472181,12.637916,0.911516,53.090446,0.861111,0.0,9,16000.0,100.000003,139.968
design-512,c0.2-v1.0-s3,112,112,TrialState.SUCCESSFUL|SHUT_DOWN,1.001328,0.2,1.0,3,12,21,1.0,0.0,37.234019,1.032487,12.919384,0.937943,37.234019,0.988095,0.0,8,16000.0,100.000003,139.968
design-512,c0.5-v0.4-s1,119,119,TrialState.SUCCESSFUL|SHUT_DOWN,1.00098,0.5,0.4,1,12,34,1.0,0.0,37.917436,1.051438,12.839922,0.936804,37.917436,0.985294,0.0,9,16000.0,100.000003,139.968
design-512,c0.5-v0.4-s2,120,120,TrialState.SUCCESSFUL|SHUT_DOWN,1.001577,0.5,0.4,2,12,34,0.833333,0.166667,52.492815,1.455609,11.780257,0.912512,52.492815,0.855392,0.0,9,16000.0,100.000003,139.968
design-512,c0.5-v0.4-s3,121,121,TrialState.SUCCESSFUL|SHUT_DOWN,1.001359,0.5,0.4,3,12,34,1.0,0.0,37.819805,1.048731,12.632832,0.936967,37.819805,0.965686,0.0,9,16000.0,100.000003,139.968
design-512,c0.5-v1.0-s1,116,116,TrialState.SUCCESSFUL|SHUT_DOWN,1.001131,0.5,1.0,1,12,34,1.0,0.0,37.917436,1.051438,12.839922,0.936804,37.917436,0.985294,0.0,9,16000.0,100.000003,139.968
design-512,c0.5-v1.0-s2,117,117,TrialState.SUCCESSFUL|SHUT_DOWN,1.002246,0.5,1.0,2,12,34,0.833333,0.166667,52.492815,1.455609,11.780257,0.912512,52.492815,0.855392,0.0,9,16000.0,100.000003,139.968
design-512,c0.5-v1.0-s3,118,118,TrialState.SUCCESSFUL|SHUT_DOWN,1.002895,0.5,1.0,3,12,34,1.0,0.0,37.819805,1.048731,12.632832,0.936967,37.819805,0.965686,0.0,9,16000.0,100.000003,139.968
design-512,c0.8-v0.4-s1,125,125,TrialState.SUCCESSFUL|SHUT_DOWN,1.00126,0.8,0.4,1,12,46,1.0,0.0,43.748737,1.213138,13.171122,0.927085,43.748737,0.972826,0.0,10,16000.0,100.000003,139.968
design-512,c0.8-v0.4-s2,126,126,TrialState.SUCCESSFUL|SHUT_DOWN,1.00252,0.8,0.4,2,12,44,0.25,0.75,101.101398,2.803509,12.789347,0.831498,101.101398,0.441288,0.0,11,16000.0,100.000003,139.968
