design,environment,success_rate,collision_rate,time_to_goal,tortuosity,detection_distance,battery_soc
frontier-1,c0.8-v0.4-s2,0.25,0.75,101.101398,2.803509,11.315091,0.865198
frontier-1,c0.8-v0.4-s3,1.0,0.0,48.902122,1.35604,11.134286,0.934797
frontier-1,c0.8-v1.0-s1,0.833333,0.166667,56.457281,1.565542,11.558613,0.924724
frontier-1,c0.8-v1.0-s2,0.25,0.75,101.101398,2.803509,11.315091,0.865198
frontier-1,c0.8-v1.0-s3,1.0,0.0,48.902122,1.35604,11.134286,0.934797
frontier-3,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,12.94553,0.937943
frontier-3,c0.2-v0.4-s2,0.833333,0.166667,53.124964,1.473138,12.222433,0.911458
frontier-3,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,12.478819,0.937943
frontier-3,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,12.94553,0.937943
frontier-3,c0.2-v1.0-s2,0.833333,0.166667,53.124964,1.473138,12.222433,0.911458
frontier-3,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,12.478819,0.937943
frontier-3,c0.5-v0.4-s1,0.833333,0.166667,51.589728,1.430567,12.498866,0.914017
frontier-3,c0.5-v0.4-s2,0.833333,0.166667,52.492815,1.455609,11.517297,0.912512
frontier-3,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,12.238289,0.936967
frontier-3,c0.5-v1.0-s1,0.833333,0.166667,51.589728,1.430567,12.498866,0.914017
frontier-3,c0.5-v1.0-s2,0.833333,0.166667,52.492815,1.455609,11.517297,0.912512
frontier-3,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,12.238289,0.936967
frontier-3,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,12.802956,0.927085
frontier-3,c0.8-v0.4-s2,0.25,0.75,101.101398,2.803509,12.571913,0.831498
frontier-3,c0.8-v0.4-s3,1.0,0.0,47.583805,1.319484,12.532867,0.920694
frontier-3,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,12.802956,0.927085
frontier-3,c0.8-v1.0-s2,0.25,0.75,101.101398,2.803509,12.571913,0.831498
frontier-3,c0.8-v1.0-s3,1.0,0.0,47.583805,1.319484,12.532867,0.920694
frontier-38,c0.2-v0.4-s1,1.0,0.0,37.234019,1.032487,13.032411,0.919326
frontier-38,c0.2-v0.4-s2,0.916667,0.083333,46.364135,1.285663,12.330658,0.899544
frontier-38,c0.2-v0.4-s3,1.0,0.0,37.234019,1.032487,12.532167,0.919326
frontier-38,c0.2-v1.0-s1,1.0,0.0,37.234019,1.032487,13.032411,0.919326
frontier-38,c0.2-v1.0-s2,0.916667,0.083333,46.364135,1.285663,12.330658,0.899544
frontier-38,c0.2-v1.0-s3,1.0,0.0,37.234019,1.032487,12.532167,0.919326
frontier-38,c0.5-v0.4-s1,0.916667,0.083333,44.790194,1.242018,12.533859,0.902955
frontier-38,c0.5-v0.4-s2,0.916667,0.083333,45.742097,1.268414,11.58685,0.900892
frontier-38,c0.5-v0.4-s3,1.0,0.0,37.819805,1.048731,12.294911,0.918057
frontier-38,c0.5-v1.0-s1,0.916667,0.083333,44.790194,1.242018,12.533859,0.902955
frontier-38,c0.5-v1.0-s2,0.916667,0.083333,45.742097,1.268414,11.58685,0.900892
frontier-38,c0.5-v1.0-s3,1.0,0.0,37.819805,1.048731,12.294911,0.918057
frontier-38,c0.8-v0.4-s1,1.0,0.0,43.748737,1.213138,12.836937,0.905211
frontier-38,c0.8-v0.4-s2,0.25,0.75,101.101398,2.803509,12.594108,0.780947
frontier-38,c0.8-v0.4-s3,1.0,0.0,47.362401,1.313344,12.580364,0.897381
frontier-38,c0.8-v1.0-s1,1.0,0.0,43.748737,1.213138,12.836937,0.905211
frontier-38,c0.8-v1.0-s2,0.25,0.75,101.101398,2.803509,12.594108,0.780947
frontier-38,c0.8-v1.0-s3,1.0,0.0,47.362401,1.313344,12.580364,0.897381
