obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.05,7.5,0.7,0.6,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794664,2.424156,5.916089,0.596376,0.0,0.120884,1.0,0.189773,0.794664,1,0,1,0,0
0.05,7.5,0.8,0.7,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.696376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,0.8,0.7,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.794717,2.424156,5.916089,0.696376,0.0,0.120884,1.0,0.189773,0.794717,1,0,1,0,0
0.05,7.5,0.8,0.7,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794673,2.424156,5.916089,0.696376,0.0,0.120884,1.0,0.189773,0.794673,1,0,1,0,0
0.05,7.5,0.9,0.8,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.796376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,0.9,0.8,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.794718,2.424156,5.916089,0.796376,0.0,0.120884,1.0,0.189773,0.794718,1,0,1,0,0
0.05,7.5,0.9,0.8,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794679,2.424156,5.916089,0.796376,0.0,0.120884,1.0,0.189773,0.794679,1,0,1,0,0
0.05,7.5,1.0,0.9,0.0,0.104678,0.014691,0.033055,0.448434,37.611737,0.794723,2.424156,5.916089,0.896376,0.0,0.120884,1.0,0.189773,0.794723,1,0,1,0,0
0.05,7.5,1.0,0.9,0.1,0.104678,0.014691,0.033055,0.448434,37.611737,0.794718,2.424156,5.916089,0.896376,0.0,0.120884,1.0,0.189773,0.794718,1,0,1,0,0
0.05,7.5,1.0,0.9,0.3,0.104678,0.014691,0.033055,0.448434,37.611737,0.794684,2.424156,5.916089,0.896376,0.0,0.120884,1.0,0.189773,0.794684,1,0,1,0,0
0.05,10.0,0.3,0.2,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.161213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.3,0.2,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794703,3.238603,7.90144,0.161213,0.0,0.161498,1.0,0.203311,0.794703,1,0,1,0,0
0.05,10.0,0.3,0.2,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794548,3.238603,7.90144,0.161213,0.0,0.161498,1.0,0.203311,0.794548,1,0,1,0,0
0.05,10.0,0.4,0.3,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.261213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.4,0.3,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.79471,3.238603,7.90144,0.261213,0.0,0.161498,1.0,0.203311,0.79471,1,0,1,0,0
0.05,10.0,0.4,0.3,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794606,3.238603,7.90144,0.261213,0.0,0.161498,1.0,0.203311,0.794606,1,0,1,0,0
0.05,10.0,0.5,0.4,0.0,0.140199,0.014691,0.033055,0.448434,37.611737,0.794723,3.238603,7.90144,0.361213,0.0,0.161498,1.0,0.203311,0.794723,1,0,1,0,0
0.05,10.0,0.5,0.4,0.1,0.140199,0.014691,0.033055,0.448434,37.611737,0.794713,3.238603,7.90144,0.361213,0.0,0.161498,1.0,0.203311,0.794713,1,0,1,0,0
0.05,10.0,0.5,0.4,0.3,0.140199,0.014691,0.033055,0.448434,37.611737,0.794635,3.238603,7.90144,0.361213,0.0,0.161498,1.0,0.203311,0.794635,1,0,1,0,0
