design,environment,experiment_id,trial_id,state,wall_seconds,allocation,required_margin,sigma,seed,feasible,stop,mip_status,nodes,mip_gap,dual_bound,solve_wall,effort,dense_margin,planned_rho_AGR_1,planned_rho_AGR_2,planned_rho_AGR_3,executed_rho_AGR_1,executed_rho_AGR_2,executed_rho_AGR_3,min_rho,violations,binding_AGR_1,binding_AGR_2,binding_AGR_3
alloc012-m0.35,sigma0.12-seed0,16,16,TrialState.SUCCESSFUL|SHUT_DOWN,51.123338938,0-1-2,0.35,0.12,0,1,node limit,4,8000,0.594518614,3.692636566,50.622235012,9.106796736,0.2275,0.35,0.35,0.35,0.225479123,0.007532941,-0.00921414,-0.00921414,1,"sep(1,2)@k=8",ST_C1@k=9,ST_C2@k=14
alloc012-m0.35,sigma0.12-seed1,17,17,TrialState.SUCCESSFUL|SHUT_DOWN,51.632733345,0-1-2,0.35,0.12,1,1,node limit,4,8000,0.594518614,3.692636566,51.06101323,9.106796736,0.2275,0.35,0.35,0.35,0.215848042,0.151921092,0.218739919,0.151921092,0,OBS_WALL_NORTH@k=6,ST_S2@k=14,"sep(2,3)@k=11"
alloc012-m0.35,sigma0.12-seed2,18,18,TrialState.SUCCESSFUL|SHUT_DOWN,51.631756067,0-1-2,0.35,0.12,2,1,node limit,4,8000,0.594518614,3.692636566,50.769957199,9.106796736,0.2275,0.35,0.35,0.35,-0.092054083,-0.092054083,0.087664746,-0.092054083,2,"sep(1,2)@k=8","sep(1,2)@k=8",OBS_WALL_SOUTH@k=6
alloc012-m0.45,sigma0.06-seed0,19,19,TrialState.SUCCESSFUL|SHUT_DOWN,62.153083086,0-1-2,0.45,0.06,0,1,node limit,4,8000,0.460036089,4.762630243,61.280252835,8.820275102,0.201944914,0.45,0.45,0.45,0.258353922,0.224393502,0.261765269,0.224393502,0,OBS_WALL_NORTH@k=9,OBS_WALL_MID@k=8,OBS_PILLAR@k=14
alloc012-m0.45,sigma0.06-seed1,20,20,TrialState.SUCCESSFUL|SHUT_DOWN,62.160567522,0-1-2,0.45,0.06,1,1,node limit,4,8000,0.460036089,4.762630243,61.371155059,8.820275102,0.201944914,0.45,0.45,0.45,0.332408382,0.333266351,0.382039062,0.332408382,0,ST_N2@k=15,ST_S2@k=16,"sep(2,3)@k=13"
alloc012-m0.45,sigma0.06-seed2,21,21,TrialState.SUCCESSFUL|SHUT_DOWN,61.158043861,0-1-2,0.45,0.06,2,1,node limit,4,8000,0.460036089,4.762630243,60.571012366,8.820275102,0.201944914,0.45,0.45,0.45,0.318435374,0.275847199,0.318832373,0.275847199,0,ST_N1@k=10,OBS_WALL_MID@k=9,OBS_WALL_SOUTH@k=6
alloc012-m0.45,sigma0.09-seed0,22,22,TrialState.SUCCESSFUL|SHUT_DOWN,61.659416914,0-1-2,0.45,0.09,0,1,node limit,4,8000,0.460036089,4.762630243,61.07321755,8.820275102,0.201944914,0.45,0.45,0.45,0.257071455,0.111590253,0.164938008,0.111590253,0,ST_N1@k=10,OBS_WALL_MID@k=8,OBS_PILLAR@k=14
alloc012-m0.45,sigma0.09-seed1,23,23,TrialState.SUCCESSFUL|SHUT_DOWN,61.64543128,0-1-2,0.45,0.09,1,1,node limit,4,8000,0.460036089,4.762630243,60.851184376,8.820275102,0.201944914,0.45,0.45,0.45,0.343440417,0.274899526,0.308183353,0.274899526,0,OBS_WALL_NORTH@k=8,ST_S2@k=16,"sep(2,3)@k=13"
alloc012-m0.45,sigma0.09-seed2,24,24,TrialState.SUCCESSFUL|SHUT_DOWN,61.65823102,0-1-2,0.45,0.09,2,1,node limit,4,8000,0.460036089,4.762630243,61.116090367,8.820275102,0.201944914,0.45,0.45,0.45,0.252653062,0.188770799,0.25324856,0.188770799,0,ST_N1@k=10,OBS_WALL_MID@k=9,OBS_WALL_SOUTH@k=6
alloc012-m0.45,sigma0.12-seed0,25,25,TrialState.SUCCESSFUL|SHUT_DOWN,62.148607254,0-1-2,0.45,0.12,0,1,node limit,4,8000,0.460036089,4.762630243,61.427371233,8.820275102,0.201944914,0.45,0.45,0.45,0.19276194,0.140692882,0.138543187,0.138543187,0,ST_N1@k=10,OBS_WALL_MID@k=8,OBS_PILLAR@k=14
alloc012-m0.45,sigma0.12-seed1,26,26,TrialState.SUCCESSFUL|SHUT_DOWN,62.147365093,0-1-2,0.45,0.12,1,1,node limit,4,8000,0.460036089,4.762630243,61.541883757,8.820275102,0.201944914,0.45,0.45,0.45,0.307920556,0.216532701,0.234327644,0.216532701,0,OBS_WALL_NORTH@k=8,ST_S2@k=16,"sep(2,3)@k=13"
alloc012-m0.45,sigma0.12-seed2,27,27,TrialState.SUCCESSFUL|SHUT_DOWN,62.149285316,0-1-2,0.45,0.12,2,1,node limit,4,8000,0.460036089,4.762630243,61.442852502,8.820275102,0.201944914,0.45,0.45,0.45,0.186870749,0.101694399,0.187664746,0.101694399,0,ST_N1@k=10,OBS_WALL_MID@k=9,OBS_WALL_SOUTH@k=6
alloc012-m0.5,sigma0.06-seed0,28,28,TrialState.SUCCESSFUL|SHUT_DOWN,1.001470566,0-1-2,0.5,0.06,0,0,infeasible,2,,,,0.01238674,,,,,,,,,,,,,
alloc012-m0.5,sigma0.06-seed1,29,29,TrialState.SUCCESSFUL|SHUT_DOWN,1.002096653,0-1-2,0.5,0.06,1,0,infeasible,2,,,,0.013557283,,,,,,,,,,,,,
alloc012-m0.5,sigma0.06-seed2,30,30,TrialState.SUCCESSFUL|SHUT_DOWN,1.001834631,0-1-2,0.5,0.06,2,0,infeasible,2,,,,0.011431976,,,,,,,,,,,,,
alloc012-m0.5,sigma0.09-seed0,31,31,TrialState.SUCCESSFUL|SHUT_DOWN,1.002335548,0-1-2,0.5,0.09,0,0,infeasible,2,,,,0.0115771,,,,,,,,,,,,,
alloc012-m0.5,sigma0.09-seed1,32,32,TrialState.SUCCESSFUL|SHUT_DOWN,1.002543211,0-1-2,0.5,0.09,1,0,infeasible,2,,,,0.01184689,,,,,,,,,,,,,
alloc012-m0.5,sigma0.09-seed2,33,33,TrialState.SUCCESSFUL|SHUT_DOWN,1.002248526,0-1-2,0.5,0.09,2,0,infeasible,2,,,,0.011627796,,,,,,,,,,,,,
alloc012-m0.5,sigma0.12-seed0,34,34,TrialState.SUCCESSFUL|SHUT_DOWN,1.002391577,0-1-2,0.5,0.12,0,0,infeasible,2,,,,0.011665767,,,,,,,,,,,,,
alloc012-m0.5,sigma0.12-seed1,35,35,TrialState.SUCCESSFUL|SHUT_DOWN,1.002327919,0-1-2,0.5,0.12,1,0,infeasible,2,,,,0.011440833,,,,,,,,,,,,,
alloc012-m0.5,sigma0.12-seed2,36,36,TrialState.SUCCESSFUL|SHUT_DOWN,1.002261162,0-1-2,0.5,0.12,2,0,infeasible,2,,,,0.011939014,,,,,,,,,,,,,
alloc021-m0.15,sigma0.06-seed0,37,37,TrialState.SUCCESSFUL|SHUT_DOWN,38.591009855,0-2-1,0.15,0.06,0,1,optimal,0,6467,0.049757537,3.220626433,38.133221528,3.389268065,0.053947368,0.15,0.149997624,0.15,0.02138097,0.014985979,0.011740644,0.011740644,0,ST_N1@k=10,ST_S1@k=10,ST_S2@k=15
alloc021-m0.15,sigma0.06-seed1,38,38,TrialState.SUCCESSFUL|SHUT_DOWN,39.093910456,0-2-1,0.15,0.06,1,1,optimal,0,6467,0.049757537,3.220626433,38.556100149,3.389268065,0.053947368,0.15,0.149997624,0.15,0.078960278,0.002288582,0.002288582,0.002288582,0,OBS_WALL_NORTH@k=8,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc021-m0.15,sigma0.06-seed2,39,39,TrialState.SUCCESSFUL|SHUT_DOWN,39.095960379,0-2-1,0.15,0.06,2,1,optimal,0,6467,0.049757537,3.220626433,38.650898795,3.389268065,0.053947368,0.15,0.149997624,0.15,0.018435374,0.051950473,0.051950473,0.018435374,0,ST_N1@k=10,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc021-m0.15,sigma0.09-seed0,40,40,TrialState.SUCCESSFUL|SHUT_DOWN,39.094124794,0-2-1,0.15,0.09,0,1,optimal,0,6467,0.049757537,3.220626433,38.404303862,3.389268065,0.053947368,0.15,0.149997624,0.15,-0.042928545,-0.052521032,-0.057389034,-0.057389034,3,ST_N1@k=10,ST_S1@k=10,ST_S2@k=15
alloc021-m0.15,sigma0.09-seed1,41,41,TrialState.SUCCESSFUL|SHUT_DOWN,39.096705675,0-2-1,0.15,0.09,1,1,optimal,0,6467,0.049757537,3.220626433,38.66636728,3.389268065,0.053947368,0.15,0.149997624,0.15,0.043440417,-0.071567128,-0.071567128,-0.071567128,2,OBS_WALL_NORTH@k=8,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc021-m0.15,sigma0.09-seed2,42,42,TrialState.SUCCESSFUL|SHUT_DOWN,39.095402718,0-2-1,0.15,0.09,2,1,optimal,0,6467,0.049757537,3.220626433,38.60296407,3.389268065,0.053947368,0.15,0.149997624,0.15,-0.047346938,0.002925709,0.002925709,-0.047346938,1,ST_N1@k=10,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc021-m0.15,sigma0.12-seed0,43,43,TrialState.SUCCESSFUL|SHUT_DOWN,39.092494011,0-2-1,0.15,0.12,0,1,optimal,0,6467,0.049757537,3.220626433,38.33782502,3.389268065,0.053947368,0.15,0.149997624,0.15,-0.10723806,-0.120028043,-0.126518712,-0.126518712,3,ST_N1@k=10,ST_S1@k=10,ST_S2@k=15
alloc021-m0.15,sigma0.12-seed1,44,44,TrialState.SUCCESSFUL|SHUT_DOWN,39.604046106,0-2-1,0.15,0.12,1,1,optimal,0,6467,0.049757537,3.220626433,38.792108955,3.389268065,0.053947368,0.15,0.149997624,0.15,0.007920556,-0.145422837,-0.145422837,-0.145422837,2,OBS_WALL_NORTH@k=8,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc021-m0.15,sigma0.12-seed2,45,45,TrialState.SUCCESSFUL|SHUT_DOWN,39.09348917,0-2-1,0.15,0.12,2,1,optimal,0,6467,0.049757537,3.220626433,38.64671624,3.389268065,0.053947368,0.15,0.149997624,0.15,-0.105030429,-0.046099054,-0.046099054,-0.105030429,3,ST_N1@k=9,"sep(2,3)@k=13","sep(2,3)@k=13"
alloc021-m0.35,sigma0.06-seed0,46,46,TrialState.SUCCESSFUL|SHUT_DOWN,59.644793749,0-2-1,0.35,0.06,0,1,node limit,4,8000,0.557569563,3.110106063,58.825746462,7.029593364,0.15,0.35,0.35,0.35,0.278019156,0.157719853,0.207937648,0.157719853,0,OBS_WALL_NORTH@k=8,OBS_WALL_MID@k=6,"sep(2,3)@k=11"
alloc021-m0.35,sigma0.06-seed1,47,47,TrialState.SUCCESSFUL|SHUT_DOWN,59.148225546,0-2-1,0.35,0.06,1,1,node limit,4,8000,0.557569563,3.110106063,58.737580542,7.029593364,0.15,0.35,0.35,0.35,0.306113814,0.287135917,0.302378267,0.287135917,0,OBS_WALL_NORTH@k=7,ST_C2@k=15,OBS_WALL_MID@k=5
alloc021-m0.35,sigma0.06-seed2,48,48,TrialState.SUCCESSFUL|SHUT_DOWN,59.656013966,0-2-1,0.35,0.06,2,1,node limit,4,8000,0.557569563,3.110106063,58.805880005,7.029593364,0.15,0.35,0.35,0.35,0.218435374,0.19349187,0.19349187,0.19349187,0,ST_N1@k=10,"sep(2,3)@k=11","sep(2,3)@k=11"
alloc021-m0.35,sigma0.09-seed0,49,49,TrialState.SUCCESSFUL|SHUT_DOWN,59.15165782,0-2-1,0.35,0.09,0,1,node limit,4,8000,0.557569563,3.110106063,58.730722962,7.029593364,0.15,0.35,0.35,0.35,0.3086954,0.06157978,0.152369106,0.06157978,0,OBS_WALL_NORTH@k=8,OBS_WALL_MID@k=6,ST_S2@k=16
alloc021-m0.35,sigma0.09-seed1,50,50,TrialState.SUCCESSFUL|SHUT_DOWN,64.683391809,0-2-1,0.35,0.09,1,1,node limit,4,8000,0.557569563,3.110106063,64.302923115,7.029593364,0.15,0.35,0.35,0.35,0.284170721,0.255703875,0.276136544,0.255703875,0,OBS_WALL_NORTH@k=7,ST_C2@k=15,OBS_WALL_MID@k=5
alloc021-m0.35,sigma0.09-seed2,51,51,TrialState.SUCCESSFUL|SHUT_DOWN,66.711328506,0-2-1,0.35,0.09,2,1,node limit,4,8000,0.557569563,3.110106063,66.005541156,7.029593364,0.15,0.35,0.35,0.35,0.152653062,0.115237805,0.115237805,0.115237805,0,ST_N1@k=10,"sep(2,3)@k=11","sep(2,3)@k=11"
alloc021-m0.35,sigma0.12-seed0,52,52,TrialState.SUCCESSFUL|SHUT_DOWN,66.215755463,0-2-1,0.35,0.12,0,1,node limit,4,8000,0.557569563,3.110106063,65.752689468,7.029593364,0.15,0.35,0.35,0.35,0.33399256,-0.034560294,0.066121771,-0.034560294,1,ST_N2@k=14,OBS_WALL_MID@k=6,ST_S2@k=16
alloc021-m0.35,sigma0.12-seed1,53,53,TrialState.SUCCESSFUL|SHUT_DOWN,66.692399025,0-2-1,0.35,0.12,1,1,node limit,4,8000,0.557569563,3.110106063,65.981276187,7.029593364,0.15,0.35,0.35,0.35,0.262227627,0.224271834,0.249894821,0.224271834,0,OBS_WALL_NORTH@k=7,ST_C2@k=15,OBS_WALL_MID@k=5
alloc021-m0.35,sigma0.12-seed2,54,54,TrialState.SUCCESSFUL|SHUT_DOWN,67.217649937,0-2-1,0.35,0.12,2,1,node limit,4,8000,0.557569563,3.110106063,66.750425081,7.029593364,0.15,0.35,0.35,0.35,0.086870749,0.03698374,0.03698374,0.03698374,0,ST_N1@k=10,"sep(2,3)@k=11","sep(2,3)@k=11"
alloc021-m0.45,sigma0.06-seed0,55,55,TrialState.SUCCESSFUL|SHUT_DOWN,75.270308018,0-2-1,0.45,0.06,0,1,node limit,4,8000,0.544329295,3.770951553,74.460861587,8.275606738,0.233333333,0.45,0.45,0.45,0.311352489,0.314985979,0.34556603,0.311352489,0,OBS_WALL_NORTH@k=8,ST_S1@k=10,OBS_WALL_SOUTH@k=4
alloc021-m0.45,sigma0.06-seed1,56,56,TrialState.SUCCESSFUL|SHUT_DOWN,78.734411001,0-2-1,0.45,0.06,1,1,node limit,4,8000,0.544329295,3.770951553,77.920183178,8.275606738,0.233333333,0.45,0.45,0.45,0.406113814,0.373348255,0.317598536,0.317598536,0,OBS_WALL_NORTH@k=7,OBS_WALL_SOUTH@k=8,ST_S2@k=16
alloc021-m0.45,sigma0.06-seed2,57,57,TrialState.SUCCESSFUL|SHUT_DOWN,79.26585412,0-2-1,0.45,0.06,2,1,node limit,4,8000,0.544329295,3.770951553,78.379514874,8.275606738,0.233333333,0.45,0.45,0.45,0.318435374,0.312501617,0.340639894,0.312501617,0,ST_N1@k=10,OBS_WALL_SOUTH@k=9,OBS_WALL_SOUTH@k=4
alloc021-m0.45,sigma0.09-seed0,58,58,TrialState.SUCCESSFUL|SHUT_DOWN,79.754308939,0-2-1,0.45,0.09,0,1,node limit,4,8000,0.544329295,3.770951553,79.094113862,8.275606738,0.233333333,0.45,0.45,0.45,0.342028734,0.211590253,0.271571559,0.211590253,0,OBS_WALL_NORTH@k=8,OBS_WALL_MID@k=8,"sep(2,3)@k=9"
alloc021-m0.45,sigma0.09-seed1,59,59,TrialState.SUCCESSFUL|SHUT_DOWN,79.763191223,0-2-1,0.45,0.09,1,1,node limit,4,8000,0.544329295,3.770951553,78.879005678,8.275606738,0.233333333,0.45,0.45,0.45,0.384170721,0.335022382,0.251397804,0.251397804,0,OBS_WALL_NORTH@k=7,OBS_WALL_SOUTH@k=8,ST_S2@k=16
alloc021-m0.45,sigma0.09-seed2,60,60,TrialState.SUCCESSFUL|SHUT_DOWN,76.716571808,0-2-1,0.45,0.09,2,1,node limit,4,8000,0.544329295,3.770951553,76.123761852,8.275606738,0.233333333,0.45,0.45,0.45,0.252653062,0.289229329,0.28595984,0.252653062,0,ST_N1@k=10,"sep(2,3)@k=9",OBS_WALL_SOUTH@k=4
alloc021-m0.45,sigma0.12-seed0,61,61,TrialState.SUCCESSFUL|SHUT_DOWN,76.71374011,0-2-1,0.45,0.12,0,1,node limit,4,8000,0.544329295,3.770951553,75.98343983,8.275606738,0.233333333,0.45,0.45,0.45,0.36303493,0.098787004,0.157413101,0.098787004,0,OBS_WALL_NORTH@k=4,OBS_WALL_MID@k=8,"sep(2,3)@k=9"
alloc021-m0.45,sigma0.12-seed1,62,62,TrialState.SUCCESSFUL|SHUT_DOWN,77.274452925,0-2-1,0.45,0.12,1,1,node limit,4,8000,0.544329295,3.770951553,76.905927553,8.275606738,0.233333333,0.45,0.45,0.45,0.362227627,0.29669651,0.185197072,0.185197072,0,OBS_WALL_NORTH@k=7,OBS_WALL_SOUTH@k=8,ST_S2@k=16
alloc021-m0.45,sigma0.12-seed2,63,63,TrialState.SUCCESSFUL|SHUT_DOWN,75.729695797,0-2-1,0.45,0.12,2,1,node limit,4,8000,0.544329295,3.770951553,75.187747871,8.275606738,0.233333333,0.45,0.45,0.45,0.186870749,0.180956794,0.180956794,0.180956794,0,ST_N1@k=10,"sep(2,3)@k=9","sep(2,3)@k=9"
alloc021-m0.5,sigma0.06-seed0,64,64,TrialState.SUCCESSFUL|SHUT_DOWN,1.002434254,0-2-1,0.5,0.06,0,0,infeasible,2,,,,0.008955115,,,,,,,,,,,,,
alloc021-m0.5,sigma0.06-seed1,65,65,TrialState.SUCCESSFUL|SHUT_DOWN,1.002484322,0-2-1,0.5,0.06,1,0,infeasible,2,,,,0.009232318,,,,,,,,,,,,,
alloc021-m0.5,sigma0.06-seed2,66,66,TrialState.SUCCESSFUL|SHUT_DOWN,1.002330303,0-2-1,0.5,0.06,2,0,infeasible,2,,,,0.009612196,,,,,,,,,,,,,
alloc021-m0.5,sigma0.09-seed0,67,67,TrialState.SUCCESSFUL|SHUT_DOWN,1.003505468,0-2-1,0.5,0.09,0,0,infeasible,2,,,,0.009316368,,,,,,,,,,,,,
alloc021-m0.5,sigma0.09-seed1,68,68,TrialState.SUCCESSFUL|SHUT_DOWN,1.002544165,0-2-1,0.5,0.09,1,0,infeasible,2,,,,0.011310857,,,,,,,,,,,,,
alloc021-m0.5,sigma0.09-seed2,69,69,TrialState.SUCCESSFUL|SHUT_DOWN,1.001414776,0-2-1,0.5,0.09,2,0,infeasible,2,,,,0.010032291,,,,,,,,,,,,,
alloc021-m0.5,sigma0.12-seed0,70,70,TrialState.SUCCESSFUL|SHUT_DOWN,1.00244689,0-2-1,0.5,0.12,0,0,infeasible,2,,,,0.00944458,,,,,,,,,,,,,
alloc021-m0.5,sigma0.12-seed1,71,71,TrialState.SUCCESSFUL|SHUT_DOWN,1.002423763,0-2-1,0.5,0.12,1,0,infeasible,2,,,,0.009378625,,,,,,,,,,,,,
alloc021-m0.5,sigma0.12-seed2,72,72,TrialState.SUCCESSFUL|SHUT_DOWN,1.002351284,0-2-1,0.5,0.12,2,0,infeasible,2,,,,0.00942361,,,,,,,,,,,,,
alloc102-m0.15,sigma0.06-seed0,73,73,TrialState.SUCCESSFUL|SHUT_DOWN,48.65536809,1-0-2,0.15,0.06,0,1,optimal,0,6203,0.049661704,3.020943425,47.998723019,3.178808471,-0.012352941,0.15,0.15,0.15,-0.048356058,-0.048356058,0.027041778,-0.048356058,2,"sep(1,2)@k=5","sep(1,2)@k=5",OBS_WALL_SOUTH@k=6
alloc102-m0.15,sigma0.06-seed1,74,74,TrialState.SUCCESSFUL|SHUT_DOWN,48.639611959,1-0-2,0.15,0.06,1,1,optimal,0,6203,0.049661704,3.020943425,48.133654282,3.178808471,-0.012352941,0.15,0.15,0.15,0.044560587,0.044560587,0.017598536,0.017598536,0,"sep(1,2)@k=6","sep(1,2)@k=6",ST_C2@k=16
alloc102-m0.15,sigma0.06-seed2,75,75,TrialState.SUCCESSFUL|SHUT_DOWN,47.646147728,1-0-2,0.15,0.06,2,1,optimal,0,6203,0.049661704,3.020943425,47.079794384,3.178808471,-0.012352941,0.15,0.15,0.15,-0.037664641,-0.037664641,0.018832373,-0.037664641,2,"sep(1,2)@k=5","sep(1,2)@k=5",OBS_WALL_SOUTH@k=6
alloc102-m0.15,sigma0.09-seed0,76,76,TrialState.SUCCESSFUL|SHUT_DOWN,48.178845167,1-0-2,0.15,0.09,0,1,optimal,0,6203,0.049661704,3.020943425,47.334813649,3.178808471,-0.012352941,0.15,0.15,0.15,-0.137469117,-0.092533059,-0.034437332,-0.137469117,3,OBS_WALL_MID@k=9,"sep(1,2)@k=5",OBS_WALL_SOUTH@k=6
alloc102-m0.15,sigma0.09-seed1,77,77,TrialState.SUCCESSFUL|SHUT_DOWN,48.16676259,1-0-2,0.15,0.09,1,1,optimal,0,6203,0.049661704,3.020943425,47.730752015,3.178808471,-0.012352941,0.15,0.15,0.15,0.043248572,0.043248572,-0.048602196,-0.048602196,1,"sep(1,2)@k=6","sep(1,2)@k=6",ST_C2@k=16
alloc102-m0.15,sigma0.09-seed2,78,78,TrialState.SUCCESSFUL|SHUT_DOWN,48.651775837,1-0-2,0.15,0.09,2,1,optimal,0,6203,0.049661704,3.020943425,48.152645265,3.178808471,-0.012352941,0.15,0.15,0.15,-0.09740288,-0.09740288,-0.04675144,-0.09740288,3,"sep(1,2)@k=6","sep(1,2)@k=6",OBS_WALL_SOUTH@k=6
