episode,step,object,robot_x,robot_y,range,true_xmin,true_ymin,true_xmax,true_ymax,det_xmin,det_ymin,det_xmax,det_ymax
56.0000,0.0000,4.0000,1.2500,1.2500,5.7094,3.2731,4.4704,5.8012,7.3661,3.2830,4.6002,5.6681,7.3984
57.0000,0.0000,4.0000,1.2500,1.2500,9.8684,8.1700,6.0292,10.3745,7.9651,7.9773,5.8633,10.1040,7.7768
57.0000,0.0000,5.0000,1.2500,1.2500,7.9956,7.9619,3.0644,9.7607,4.3337,7.9832,3.0073,9.6848,4.2036
58.0000,0.0000,4.0000,1.2500,1.2500,5.1168,3.2904,4.3721,5.2437,6.3933,3.3400,4.3825,5.2731,6.2602
58.0000,0.0000,6.0000,1.2500,1.2500,8.6497,5.2394,7.6122,7.2123,9.0381,5.2482,7.6684,7.1479,9.0049
60.0000,0.0000,5.0000,1.2500,1.2500,8.9188,4.0306,7.7783,7.0377,10.3667,4.0577,7.8729,6.8424,10.3636
61.0000,0.0000,1.0000,1.2500,1.2500,7.5906,2.6205,7.6936,5.0896,9.0654,2.7161,7.6587,5.0252,8.9286
61.0000,0.0000,4.0000,1.2500,1.2500,9.4641,6.9571,7.1190,8.6193,9.0661,7.0462,7.1470,8.6555,8.9901
62.0000,0.0000,0.0000,1.2500,1.2500,6.9110,2.5546,6.7773,5.5923,8.3386,2.8198,7.1431,4.9869,8.0776
62.0000,0.0000,1.0000,1.2500,1.2500,5.3716,3.3664,4.3623,5.2177,6.9921,3.3536,4.5554,5.1113,7.0418
63.0000,0.0000,2.0000,1.2500,1.2500,5.4142,4.8137,2.6219,7.2691,4.9203,5.0749,2.6301,7.3381,4.8707
64.0000,0.0000,1.0000,1.2500,1.2500,7.2052,4.1051,6.4335,5.8131,8.4209,4.5457,6.9486,5.3956,7.8358
64.0000,0.0000,6.0000,1.2500,1.2500,7.9042,7.3354,3.7055,9.3021,5.8682,7.2857,3.8017,9.1179,5.8540
65.0000,0.0000,2.0000,1.2500,1.2500,9.8729,8.9952,3.2883,11.9762,6.1907,9.5551,4.1757,11.0094,5.2876
68.0000,0.0000,2.0000,1.2500,1.2500,9.3411,2.1735,8.8509,3.9009,11.9862,2.4613,8.6502,4.1044,11.5768
69.0000,0.0000,4.0000,1.2500,1.2500,8.7601,3.6670,8.4379,5.8356,10.1221,3.9374,8.9916,4.8750,9.7045
70.0000,0.0000,2.0000,1.2500,1.2500,4.8225,2.4588,4.5381,4.9618,6.2574,3.1949,5.0338,4.3996,5.6832
70.0000,0.0000,8.0000,1.2500,1.2500,6.0272,5.5947,2.8448,7.5741,5.2662,5.7149,2.9676,7.5542,5.2404
71.0000,0.0000,2.0000,1.2500,1.2500,9.3991,4.9539,7.8728,7.2613,10.7203,4.9438,8.1070,7.1265,10.7660
71.0000,0.0000,3.0000,1.2500,1.2500,8.8711,8.1084,4.1716,10.4238,5.9278,8.4597,4.1695,10.7153,5.8434
72.0000,0.0000,7.0000,1.2500,1.2500,9.3135,3.0455,9.0821,5.9588,10.8724,3.2287,8.7032,5.9618,10.3958
73.0000,0.0000,1.0000,1.2500,1.2500,6.0399,5.1301,3.2802,7.9215,5.1008,5.9619,3.7997,7.1651,4.7553
73.0000,0.0000,2.0000,1.2500,1.2500,4.7641,4.6187,2.1047,6.6035,4.2307,4.8410,2.1072,6.7055,4.1798
74.0000,0.0000,3.0000,1.2500,1.2500,7.9218,4.5995,6.6335,6.2405,9.3374,5.0396,7.0043,5.8440,8.9775
74.0000,0.0000,4.0000,1.2500,1.2500,9.5439,9.2477,4.0008,10.4898,6.6978,9.3743,3.7718,10.5517,6.3595
74.0000,0.0000,5.0000,1.2500,1.2500,6.8442,5.8881,2.9387,8.9884,5.4086,6.1022,2.8243,9.0681,5.1603
75.0000,0.0000,1.0000,1.2500,1.2500,8.0140,5.8862,5.7215,8.6886,7.3188,5.9364,5.8278,8.5281,7.3659
75.0000,0.0000,2.0000,1.2500,1.2500,6.2708,6.1939,2.6013,7.4512,5.6502,6.0986,2.5020,7.2822,5.4040
75.0000,0.0000,3.0000,1.2500,1.2500,7.0144,7.3923,2.0940,8.6407,4.1027,7.5816,2.2985,8.7687,4.2048
